role,department,resource,resource_sensitivity,hour,is_unusual_time,known_device,location_match,role_resource_match,failed_attempts,request_frequency,credential_valid,previous_behavior_score,risk_score,risk_label
DevOps Engineer,Finance,GitHub Project Alpha,1,18.06,0,0,1,0,0,1.99,1,0.639,46.3,MEDIUM
Software Developer,HR,Development Server,2,21.12,1,0,0,0,3,11.64,1,0.068,100.0,HIGH
QA Engineer,HR,Finance System,3,17.1,0,1,1,0,0,1.62,1,0.742,33.4,MEDIUM
QA Engineer,IT,HR Database,3,13.05,0,1,1,0,0,1.15,1,0.934,28.0,LOW
QA Engineer,HR,Finance System,3,0.83,1,0,1,0,3,14.96,1,0.336,98.9,HIGH
DevOps Engineer,HR,Admin Panel,4,23.09,1,0,1,0,4,4.85,1,0.219,98.0,HIGH
Software Developer,IT,Project Management System,1,19.84,0,1,1,1,0,4.02,1,0.964,4.6,LOW
System Administrator,Engineering,Production Database,4,16.96,0,1,1,1,0,2.71,1,0.72,14.9,LOW
DevOps Engineer,HR,Finance System,3,21.66,1,0,0,0,0,12.59,0,0.211,100.0,HIGH
Finance Analyst,HR,Production Database,4,23.71,1,1,0,0,1,3.39,1,0.194,80.2,HIGH
System Administrator,HR,Finance System,3,11.14,0,1,1,0,0,0.8,1,0.627,28.2,LOW
System Administrator,IT,Finance System,3,13.35,0,1,1,0,0,1.54,1,0.929,28.2,LOW
QA Engineer,HR,Finance System,3,18.67,0,1,1,0,0,3.93,1,0.772,26.2,LOW
System Administrator,Engineering,Finance System,3,16.08,0,1,1,0,1,4.08,1,0.683,35.3,MEDIUM
Software Developer,Product,GitHub Project Alpha,1,22.23,1,0,1,1,1,14.35,1,0.22,85.8,HIGH
Contractor,Engineering,GitHub Project Alpha,1,13.57,0,1,1,1,0,0.73,1,0.881,6.2,LOW
Software Developer,Engineering,Admin Panel,4,18.74,0,1,1,0,0,3.25,1,0.661,34.4,MEDIUM
Contractor,IT,HR Database,3,19.29,0,1,0,0,0,1.1,1,0.725,53.0,MEDIUM
Software Developer,Engineering,GitHub Project Alpha,1,5.59,1,1,0,1,0,6.17,1,0.477,50.3,MEDIUM
Finance Analyst,Finance,Finance System,3,15.64,0,1,1,1,1,0.38,1,0.686,21.5,LOW
DevOps Engineer,Finance,Development Server,2,2.53,1,0,0,0,5,5.7,0,0.426,100.0,HIGH
Software Developer,HR,Development Server,2,9.7,0,1,1,0,0,2.14,1,0.692,25.2,LOW
Contractor,Engineering,Admin Panel,4,13.51,0,1,1,0,0,4.37,1,0.779,29.3,LOW
HR Specialist,HR,HR Database,3,22.63,1,0,0,1,1,3.6,0,0.227,90.2,HIGH
QA Engineer,IT,HR Database,3,23.83,1,0,1,0,2,6.62,1,0.295,95.8,HIGH
Software Developer,Finance,HR Database,3,19.88,0,1,1,0,0,3.04,1,0.853,25.2,LOW
HR Specialist,Finance,Finance System,3,14.68,0,1,1,1,1,3.86,1,0.994,11.7,LOW
System Administrator,Engineering,Development Server,2,21.43,1,1,1,1,1,12.51,1,0.317,64.8,MEDIUM
DevOps Engineer,Finance,Project Management System,1,5.82,1,1,0,1,1,6.31,1,0.085,58.0,MEDIUM
Product Manager,HR,HR Database,3,11.93,0,1,1,1,0,1.81,1,0.655,9.9,LOW
QA Engineer,HR,Development Server,2,1.99,1,0,0,0,4,14.6,1,0.155,100.0,HIGH
HR Specialist,Engineering,HR Database,3,15.03,0,1,1,0,0,2.88,1,0.726,30.5,MEDIUM
System Administrator,Product,HR Database,3,18.54,0,1,0,0,0,2.43,1,0.715,53.5,MEDIUM
Contractor,Product,HR Database,3,2.86,1,0,0,0,0,7.78,1,0.248,100.0,HIGH
System Administrator,Finance,Admin Panel,4,16.54,0,1,1,0,0,1.9,1,0.999,26.9,LOW
System Administrator,IT,Admin Panel,4,11.93,0,1,1,1,0,4.93,1,0.613,10.9,LOW
DevOps Engineer,HR,Project Management System,1,14.84,0,1,0,1,0,3.69,1,0.806,22.1,LOW
Finance Analyst,Product,Finance System,3,9.0,0,1,1,0,0,2.07,1,0.773,30.9,MEDIUM
QA Engineer,Product,HR Database,3,15.65,0,1,1,0,0,0.57,1,0.827,31.4,MEDIUM
Contractor,HR,Project Management System,1,5.32,1,0,1,1,5,10.85,1,0.47,100.0,HIGH
Software Developer,Finance,Development Server,2,11.1,0,1,1,0,0,2.14,1,0.731,27.7,LOW
Software Developer,HR,Project Management System,1,21.8,1,0,0,1,2,3.69,1,0.478,79.9,HIGH
Product Manager,Finance,Production Database,4,7.7,0,1,0,0,0,1.36,1,0.718,52.3,MEDIUM
DevOps Engineer,IT,Admin Panel,4,10.98,0,1,1,1,0,2.44,1,0.88,15.1,LOW
DevOps Engineer,Engineering,Finance System,3,18.29,0,1,1,0,0,4.48,1,0.963,31.4,MEDIUM
Software Developer,Engineering,Finance System,3,22.11,1,1,0,0,0,3.52,1,0.13,69.0,MEDIUM
Software Developer,HR,Production Database,4,7.42,0,1,1,0,0,1.79,1,0.638,29.8,LOW
Software Developer,Product,Project Management System,1,8.77,0,1,1,1,0,4.58,1,0.772,8.2,LOW
Contractor,HR,Development Server,2,19.1,0,0,1,0,0,2.79,1,0.674,44.9,MEDIUM
Finance Analyst,HR,GitHub Project Alpha,1,12.83,0,1,1,0,0,2.55,1,0.72,23.6,LOW
DevOps Engineer,Engineering,Development Server,2,12.16,0,0,0,1,0,4.93,1,0.716,44.2,MEDIUM
DevOps Engineer,HR,Production Database,4,10.99,0,1,0,0,0,3.7,1,0.709,50.7,MEDIUM
Product Manager,Product,GitHub Project Alpha,1,18.16,0,0,0,1,0,3.79,1,0.616,45.2,MEDIUM
DevOps Engineer,Engineering,HR Database,3,13.8,0,1,0,0,0,0.93,1,0.635,52.2,MEDIUM
HR Specialist,Finance,GitHub Project Alpha,1,14.12,0,1,1,0,0,2.37,1,0.672,22.7,LOW
Contractor,Product,Production Database,4,12.63,0,1,1,0,0,3.6,1,0.859,28.7,LOW
DevOps Engineer,Finance,Production Database,4,3.5,1,0,0,0,0,4.5,1,0.335,92.4,HIGH
Finance Analyst,IT,Development Server,2,8.36,0,1,0,0,0,4.29,1,0.964,42.0,MEDIUM
Finance Analyst,Engineering,Project Management System,1,11.82,0,0,1,1,1,4.01,1,0.844,34.9,MEDIUM
HR Specialist,IT,Finance System,3,17.37,0,1,1,0,0,0.96,1,0.996,26.4,LOW
Finance Analyst,HR,GitHub Project Alpha,1,17.63,0,1,1,0,0,3.66,1,0.7,22.7,LOW
Software Developer,HR,Admin Panel,4,4.52,1,0,1,0,1,3.42,1,0.479,80.6,HIGH
Product Manager,IT,Production Database,4,12.69,0,1,1,1,0,3.02,1,0.628,17.7,LOW
Software Developer,Finance,Development Server,2,14.92,0,1,1,0,0,4.59,1,0.859,27.4,LOW
HR Specialist,Finance,Project Management System,1,10.46,0,1,1,1,1,0.58,1,0.691,16.1,LOW
Software Developer,Finance,Admin Panel,4,3.92,1,1,0,0,0,14.1,1,0.439,100.0,HIGH
DevOps Engineer,Engineering,HR Database,3,8.12,0,1,1,0,0,1.37,1,0.637,31.9,MEDIUM
DevOps Engineer,Finance,Finance System,3,8.7,0,1,1,1,0,1.74,1,0.633,13.7,LOW
Software Developer,Product,Development Server,2,15.21,0,1,1,0,0,0.81,1,0.889,28.1,LOW
Finance Analyst,Finance,Production Database,4,13.57,0,1,1,0,0,1.36,1,0.645,31.8,MEDIUM
Software Developer,Finance,Admin Panel,4,19.32,0,1,1,0,1,2.98,1,0.735,42.4,MEDIUM
Product Manager,HR,GitHub Project Alpha,1,18.33,0,1,0,0,0,4.57,1,0.726,44.1,MEDIUM
Finance Analyst,IT,Admin Panel,4,16.78,0,1,1,1,0,2.34,1,0.8,10.0,LOW
Software Developer,IT,Project Management System,1,22.64,1,0,0,1,4,14.94,1,0.153,97.2,HIGH
DevOps Engineer,Finance,Project Management System,1,8.47,0,1,1,1,0,2.26,1,0.818,3.6,LOW
Contractor,Finance,Project Management System,1,12.98,0,1,1,1,0,3.38,1,0.827,4.5,LOW
Contractor,Finance,Development Server,2,16.68,0,1,1,0,0,3.89,1,0.718,27.2,LOW
Finance Analyst,Product,Development Server,2,14.54,0,1,1,0,0,0.72,1,0.824,27.4,LOW
Finance Analyst,HR,Admin Panel,4,21.29,1,1,0,0,0,13.19,0,0.037,100.0,HIGH
Finance Analyst,HR,Project Management System,1,23.73,1,0,0,1,5,3.42,1,0.257,100.0,HIGH
Product Manager,Product,Development Server,2,9.17,0,1,1,0,0,0.97,1,0.701,28.3,LOW
Finance Analyst,Engineering,Production Database,4,0.74,1,1,0,1,5,11.8,1,0.18,96.2,HIGH
System Administrator,Engineering,GitHub Project Alpha,1,3.48,1,0,0,1,4,11.71,1,0.548,97.9,HIGH
Finance Analyst,Finance,Project Management System,1,11.34,0,0,1,1,0,3.23,1,0.698,25.1,LOW
HR Specialist,HR,Production Database,4,11.07,0,1,1,0,0,2.2,1,0.962,28.7,LOW
DevOps Engineer,HR,Admin Panel,4,11.36,0,1,1,0,0,4.5,1,0.729,32.1,MEDIUM
System Administrator,Product,HR Database,3,8.63,0,1,1,0,0,0.64,1,0.908,25.9,LOW
DevOps Engineer,Product,Development Server,2,15.71,0,1,1,0,0,3.21,1,0.652,29.9,LOW
Finance Analyst,Product,Development Server,2,11.96,0,1,1,0,0,3.61,1,0.942,21.9,LOW
System Administrator,Finance,Development Server,2,15.1,0,1,1,0,0,3.47,1,0.752,30.4,MEDIUM
Finance Analyst,Finance,HR Database,3,18.94,0,1,1,0,0,1.84,1,0.635,34.1,MEDIUM
Contractor,Product,Development Server,2,17.62,0,1,1,0,0,4.31,1,0.927,28.1,LOW
QA Engineer,IT,Development Server,2,15.97,0,1,1,0,0,1.42,1,0.924,24.1,LOW
HR Specialist,Product,GitHub Project Alpha,1,0.83,1,1,0,1,1,6.87,1,0.242,66.2,MEDIUM
DevOps Engineer,Engineering,Production Database,4,9.7,0,0,1,1,1,2.39,1,0.709,38.8,MEDIUM
HR Specialist,IT,Project Management System,1,14.31,0,1,1,1,0,3.45,1,0.927,0.0,LOW
Software Developer,HR,Finance System,3,13.32,0,1,1,0,1,3.97,1,0.976,36.8,MEDIUM
Contractor,Finance,Development Server,2,16.69,0,1,1,0,1,4.77,1,0.851,36.8,MEDIUM
Software Developer,Finance,Admin Panel,4,1.91,1,0,1,0,2,6.25,1,0.523,89.1,HIGH
DevOps Engineer,IT,Development Server,2,15.93,0,0,1,0,0,1.95,1,0.772,45.3,MEDIUM
Contractor,Product,Finance System,3,14.84,0,1,1,0,1,4.5,1,0.994,39.2,MEDIUM
Product Manager,HR,GitHub Project Alpha,1,14.89,0,1,1,0,1,3.81,1,0.699,35.9,MEDIUM
QA Engineer,IT,HR Database,3,11.64,0,1,1,0,0,1.7,1,0.656,31.0,MEDIUM
HR Specialist,Product,Production Database,4,22.19,1,0,0,0,0,13.04,1,0.549,99.2,HIGH
Product Manager,Product,Finance System,3,13.61,0,1,1,0,0,2.21,0,0.647,44.8,MEDIUM
HR Specialist,Finance,GitHub Project Alpha,1,21.56,1,0,0,0,1,5.08,1,0.286,92.9,HIGH
Contractor,Engineering,Project Management System,1,8.7,0,1,0,1,0,3.62,1,0.88,25.1,LOW
Software Developer,Product,GitHub Project Alpha,1,22.78,1,0,1,1,0,11.06,1,0.097,77.6,HIGH
DevOps Engineer,IT,Production Database,4,21.57,1,0,0,1,3,7.05,1,0.298,100.0,HIGH
Software Developer,HR,Admin Panel,4,21.7,1,0,0,0,0,11.95,0,0.32,100.0,HIGH
Product Manager,Engineering,Project Management System,1,4.58,1,0,0,1,5,3.8,1,0.366,99.6,HIGH
Software Developer,Product,GitHub Project Alpha,1,9.4,0,1,1,1,0,2.22,1,0.972,5.1,LOW
DevOps Engineer,Product,Admin Panel,4,15.81,0,1,1,0,1,4.41,1,0.658,37.5,MEDIUM
DevOps Engineer,IT,Admin Panel,4,12.7,0,1,1,1,0,2.52,1,0.674,14.7,LOW
DevOps Engineer,Product,Admin Panel,4,4.91,1,0,1,0,4,12.93,1,0.199,100.0,HIGH
Software Developer,Product,GitHub Project Alpha,1,23.4,1,0,0,1,1,7.52,1,0.425,80.9,HIGH
DevOps Engineer,Finance,Finance System,3,7.46,0,1,1,1,0,0.22,1,0.889,5.6,LOW
QA Engineer,HR,GitHub Project Alpha,1,21.43,1,0,0,0,3,15.0,1,0.46,100.0,HIGH
Product Manager,Product,Production Database,4,7.93,0,1,1,0,0,3.23,1,0.69,31.5,MEDIUM
DevOps Engineer,Engineering,Project Management System,1,17.79,0,1,1,1,0,4.62,0,0.694,21.2,LOW
Contractor,HR,Production Database,4,12.11,0,1,1,0,0,4.49,1,0.966,33.2,MEDIUM
Software Developer,IT,Admin Panel,4,2.66,1,0,1,1,5,8.21,1,0.082,100.0,HIGH
Product Manager,Finance,GitHub Project Alpha,1,12.32,0,0,1,0,0,4.91,1,0.783,43.0,MEDIUM
DevOps Engineer,Engineering,Project Management System,1,7.87,0,1,0,1,0,2.19,1,0.661,28.4,LOW
Software Developer,IT,Development Server,2,13.3,0,1,1,0,1,0.42,1,0.695,38.8,MEDIUM
Contractor,IT,GitHub Project Alpha,1,21.66,1,0,0,0,3,12.85,1,0.203,99.2,HIGH
Contractor,Product,Production Database,4,17.63,0,1,1,0,0,2.79,1,0.687,29.7,LOW
HR Specialist,IT,GitHub Project Alpha,1,22.35,1,0,0,0,0,7.52,1,0.188,98.9,HIGH
Contractor,IT,Admin Panel,4,4.16,1,1,0,1,4,4.78,0,0.347,95.7,HIGH
HR Specialist,IT,HR Database,3,11.93,0,1,1,0,0,4.84,1,0.759,31.8,MEDIUM
System Administrator,HR,Project Management System,1,4.93,1,0,0,1,4,10.88,1,0.192,97.3,HIGH
HR Specialist,HR,Production Database,4,21.73,1,0,0,0,5,5.64,0,0.0,99.5,HIGH
QA Engineer,IT,Admin Panel,4,11.62,0,1,1,1,0,0.64,1,0.989,6.4,LOW
Product Manager,IT,Production Database,4,7.63,0,1,1,1,1,4.01,1,0.851,21.8,LOW
QA Engineer,IT,Finance System,3,10.21,0,1,1,0,0,0.02,1,0.845,29.9,LOW
HR Specialist,Engineering,Finance System,3,9.34,0,1,1,0,0,2.67,1,0.751,28.4,LOW
HR Specialist,Product,Admin Panel,4,21.61,1,0,0,0,2,10.26,1,0.371,98.6,HIGH
Contractor,Product,Development Server,2,7.59,0,1,1,0,0,2.67,1,0.705,24.0,LOW
HR Specialist,HR,GitHub Project Alpha,1,11.79,0,1,1,0,0,3.93,1,0.916,22.7,LOW
Product Manager,HR,Development Server,2,10.78,0,1,1,0,1,3.47,1,0.902,36.0,MEDIUM
System Administrator,Product,HR Database,3,3.53,1,0,1,0,3,11.65,1,0.019,100.0,HIGH
HR Specialist,HR,Admin Panel,4,21.78,1,1,0,0,2,11.86,1,0.213,100.0,HIGH
Software Developer,Engineering,Finance System,3,21.32,1,1,0,0,0,13.87,1,0.186,97.0,HIGH
HR Specialist,Finance,Finance System,3,11.61,0,1,1,1,0,4.06,1,0.676,14.7,LOW
QA Engineer,Finance,Project Management System,1,12.72,0,0,1,1,0,4.58,1,0.782,24.2,LOW
DevOps Engineer,HR,Production Database,4,1.61,1,1,0,0,5,13.71,1,0.005,96.4,HIGH
System Administrator,Engineering,Admin Panel,4,15.49,0,1,1,0,0,1.49,1,0.924,30.6,MEDIUM
Contractor,Finance,Admin Panel,4,10.89,0,1,1,0,0,4.71,1,0.903,27.0,LOW
Software Developer,HR,Production Database,4,21.37,1,0,0,0,4,14.39,1,0.287,100.0,HIGH
Contractor,HR,Admin Panel,4,11.05,0,1,1,0,0,4.59,1,0.907,32.1,MEDIUM
DevOps Engineer,Engineering,Development Server,2,9.55,0,1,1,1,0,4.45,1,0.74,10.0,LOW
Contractor,Product,Project Management System,1,17.86,0,1,1,1,0,1.75,1,0.737,7.7,LOW
DevOps Engineer,Product,HR Database,3,4.56,1,0,1,0,5,6.03,1,0.142,98.5,HIGH
DevOps Engineer,IT,GitHub Project Alpha,1,2.81,1,0,0,0,5,4.46,1,0.157,100.0,HIGH
Finance Analyst,Product,GitHub Project Alpha,1,21.08,1,0,0,1,3,14.99,0,0.025,100.0,HIGH
Software Developer,Product,GitHub Project Alpha,1,19.55,0,0,1,1,0,0.29,1,0.667,26.7,LOW
Finance Analyst,IT,Admin Panel,4,11.76,0,1,1,1,0,3.22,1,0.744,15.7,LOW
Contractor,HR,Finance System,3,12.73,0,1,1,0,0,4.82,1,0.992,26.2,LOW
System Administrator,IT,Admin Panel,4,14.34,0,1,1,1,0,2.77,1,0.962,8.7,LOW
QA Engineer,Finance,Admin Panel,4,11.32,0,1,0,0,1,3.61,1,0.987,55.9,MEDIUM
QA Engineer,Product,Development Server,2,23.4,1,1,1,0,0,10.01,1,0.329,73.8,HIGH
Product Manager,HR,Finance System,3,7.65,0,1,1,0,0,3.14,1,0.669,33.6,MEDIUM
Software Developer,Finance,HR Database,3,22.66,1,1,0,0,5,9.29,0,0.197,96.2,HIGH
Product Manager,Engineering,Development Server,2,10.91,0,1,0,1,0,2.87,1,0.795,24.7,LOW
Contractor,HR,HR Database,3,17.47,0,1,1,1,0,0.04,1,0.858,6.7,LOW
QA Engineer,Product,Project Management System,1,12.11,0,0,1,1,0,4.77,1,0.743,27.1,LOW
QA Engineer,Engineering,Admin Panel,4,8.34,0,1,1,0,0,4.04,1,0.784,33.1,MEDIUM
QA Engineer,Product,Project Management System,1,17.81,0,1,1,1,0,0.54,1,0.604,8.7,LOW
Software Developer,Product,GitHub Project Alpha,1,11.94,0,1,1,1,0,4.25,1,0.993,1.9,LOW
DevOps Engineer,Product,Development Server,2,18.67,0,1,1,0,0,3.75,1,0.939,27.7,LOW
Finance Analyst,Finance,Production Database,4,15.43,0,0,1,0,0,4.32,1,0.915,50.1,MEDIUM
System Administrator,HR,Finance System,3,12.39,0,1,0,0,0,4.49,1,0.708,48.8,MEDIUM
HR Specialist,Product,Development Server,2,16.17,0,1,0,0,0,4.67,1,0.902,46.1,MEDIUM
Software Developer,Product,HR Database,3,15.07,0,1,1,0,0,0.77,1,0.671,31.2,MEDIUM
Finance Analyst,Product,Production Database,4,15.68,0,0,1,0,0,0.07,1,0.963,50.8,MEDIUM
Finance Analyst,Product,Project Management System,1,21.05,1,1,0,1,5,14.46,1,0.304,96.7,HIGH
HR Specialist,HR,Development Server,2,23.49,1,0,0,0,3,4.13,1,0.347,100.0,HIGH
HR Specialist,IT,GitHub Project Alpha,1,9.52,0,1,1,0,0,0.74,1,0.757,26.8,LOW
QA Engineer,Product,GitHub Project Alpha,1,16.83,0,1,1,1,0,1.3,1,0.812,0.9,LOW
Product Manager,Product,Production Database,4,14.77,0,1,1,0,0,4.33,1,0.746,35.0,MEDIUM
Product Manager,Product,GitHub Project Alpha,1,10.16,0,1,1,1,0,3.69,1,0.807,2.6,LOW
QA Engineer,IT,GitHub Project Alpha,1,0.71,1,1,0,0,3,14.08,0,0.009,98.2,HIGH
HR Specialist,IT,Development Server,2,8.11,0,1,1,0,0,1.77,1,0.752,27.5,LOW
Contractor,Product,HR Database,3,7.38,0,1,1,0,0,0.36,1,0.728,29.2,LOW
HR Specialist,Engineering,Production Database,4,22.39,1,1,1,1,0,11.85,0,0.563,73.8,HIGH
Software Developer,IT,Development Server,2,4.8,1,0,0,0,1,3.75,1,0.54,89.2,HIGH
QA Engineer,Finance,Development Server,2,16.38,0,1,1,0,0,3.82,1,0.962,23.2,LOW
Contractor,IT,Admin Panel,4,2.67,1,1,0,1,4,9.61,1,0.486,99.1,HIGH
DevOps Engineer,IT,Production Database,4,17.99,0,1,0,1,0,0.03,1,0.989,33.0,MEDIUM
HR Specialist,IT,Admin Panel,4,21.73,1,0,1,1,2,4.38,1,0.106,71.0,HIGH
Software Developer,Product,GitHub Project Alpha,1,10.56,0,1,1,1,0,0.49,1,0.895,1.4,LOW
Finance Analyst,IT,Admin Panel,4,15.18,0,0,1,1,0,0.43,1,0.928,33.6,MEDIUM
DevOps Engineer,IT,HR Database,3,22.82,1,0,0,0,5,9.4,1,0.585,100.0,HIGH
Software Developer,HR,Development Server,2,9.13,0,0,1,0,0,1.02,1,0.652,48.5,MEDIUM
System Administrator,Product,GitHub Project Alpha,1,14.99,0,1,1,1,0,3.35,1,0.78,1.0,LOW
DevOps Engineer,HR,Development Server,2,0.21,1,0,0,0,0,14.68,0,0.519,99.7,HIGH
Finance Analyst,Engineering,GitHub Project Alpha,1,19.49,0,1,0,1,0,3.69,1,0.81,24.9,LOW
HR Specialist,Finance,GitHub Project Alpha,1,15.59,0,1,1,0,0,1.65,1,0.76,22.2,LOW
Contractor,HR,Production Database,4,21.61,1,0,0,0,1,5.21,0,0.422,100.0,HIGH
DevOps Engineer,Product,Project Management System,1,4.66,1,0,0,1,4,14.53,1,0.183,100.0,HIGH
Contractor,IT,Production Database,4,5.34,1,0,1,1,4,12.64,1,0.045,100.0,HIGH
System Administrator,Product,HR Database,3,19.89,0,1,1,0,0,4.96,1,0.85,31.0,MEDIUM
HR Specialist,Finance,HR Database,3,15.73,0,1,1,0,0,2.89,1,0.973,25.0,LOW
Product Manager,IT,Finance System,3,13.57,0,1,1,0,0,2.16,1,0.627,29.9,LOW
HR Specialist,HR,Development Server,2,22.48,1,0,1,0,5,11.41,1,0.269,98.4,HIGH
DevOps Engineer,HR,GitHub Project Alpha,1,15.85,0,1,1,0,0,1.37,1,0.737,28.5,LOW
HR Specialist,IT,Admin Panel,4,21.03,1,1,1,1,4,12.44,1,0.078,93.8,HIGH
Software Developer,Finance,Production Database,4,19.88,0,1,1,0,0,2.4,1,0.758,36.3,MEDIUM
System Administrator,Product,Admin Panel,4,23.22,1,1,1,0,0,12.29,1,0.509,81.5,HIGH
Product Manager,Engineering,Project Management System,1,23.41,1,0,0,1,2,6.25,1,0.576,81.7,HIGH
System Administrator,Finance,Development Server,2,3.57,1,0,1,0,2,12.65,1,0.381,100.0,HIGH
DevOps Engineer,IT,Production Database,4,7.06,0,1,0,1,0,2.11,1,0.729,35.0,MEDIUM
Contractor,HR,GitHub Project Alpha,1,5.75,1,1,0,0,5,3.34,1,0.007,96.5,HIGH
System Administrator,HR,Admin Panel,4,0.26,1,1,0,0,3,9.99,1,0.269,100.0,HIGH
Product Manager,Product,Finance System,3,15.25,0,1,1,0,0,1.89,1,0.997,30.9,MEDIUM
HR Specialist,Engineering,GitHub Project Alpha,1,9.11,0,1,1,1,1,1.29,1,0.621,15.4,LOW
Product Manager,HR,Production Database,4,14.17,0,1,1,0,0,1.67,1,0.966,27.7,LOW
DevOps Engineer,IT,Production Database,4,21.98,1,1,1,1,4,10.16,1,0.446,89.4,HIGH
QA Engineer,IT,Admin Panel,4,16.59,0,1,1,1,0,0.42,1,0.759,8.5,LOW
Product Manager,HR,Production Database,4,23.73,1,0,0,0,2,12.09,1,0.017,97.6,HIGH
HR Specialist,IT,Finance System,3,13.23,0,0,1,0,0,0.43,1,0.808,51.9,MEDIUM
Finance Analyst,HR,Finance System,3,17.04,0,1,1,0,0,1.28,1,0.765,26.9,LOW
Product Manager,HR,Finance System,3,10.49,0,1,1,0,0,1.95,1,0.767,32.6,MEDIUM
DevOps Engineer,Product,GitHub Project Alpha,1,4.78,1,0,1,1,3,10.13,0,0.023,96.7,HIGH
HR Specialist,Engineering,Production Database,4,10.73,0,1,1,1,1,0.26,1,0.995,19.0,LOW
HR Specialist,HR,Admin Panel,4,2.47,1,0,0,0,3,4.19,1,0.242,96.2,HIGH
DevOps Engineer,Finance,Finance System,3,3.93,1,0,0,1,4,4.71,1,0.036,100.0,HIGH
Software Developer,HR,Finance System,3,22.03,1,0,1,0,1,13.55,1,0.219,100.0,HIGH
System Administrator,Finance,Finance System,3,13.97,0,1,1,1,0,0.05,1,0.712,9.4,LOW
DevOps Engineer,HR,Project Management System,1,18.3,0,1,1,1,0,2.15,1,0.684,5.8,LOW
QA Engineer,IT,Project Management System,1,13.72,0,1,0,1,0,0.08,1,0.942,26.3,LOW
Finance Analyst,Engineering,Production Database,4,14.15,0,1,1,1,0,3.05,1,0.744,13.1,LOW
Finance Analyst,Engineering,Development Server,2,14.9,0,1,0,1,0,2.35,1,0.98,26.4,LOW
Software Developer,Product,Finance System,3,10.52,0,1,1,0,0,0.19,1,0.975,24.8,LOW
Product Manager,IT,Development Server,2,8.14,0,1,1,0,0,3.82,1,0.909,22.8,LOW
Contractor,Engineering,Finance System,3,21.24,1,0,1,0,0,14.6,0,0.593,97.4,HIGH
System Administrator,IT,Finance System,3,18.43,0,1,1,0,1,4.74,1,0.875,35.1,MEDIUM
Contractor,Finance,Production Database,4,18.81,0,1,1,0,0,2.64,1,0.716,30.8,MEDIUM
DevOps Engineer,HR,Project Management System,1,7.76,0,0,1,1,0,4.74,1,0.604,24.8,LOW
Finance Analyst,Finance,Finance System,3,22.81,1,0,0,1,1,7.62,1,0.309,89.8,HIGH
HR Specialist,HR,HR Database,3,12.77,0,1,1,1,0,3.45,1,0.717,7.0,LOW
DevOps Engineer,Product,GitHub Project Alpha,1,21.96,1,0,1,1,4,4.12,1,0.483,73.3,HIGH
QA Engineer,Product,HR Database,3,12.91,0,0,1,0,0,0.54,1,0.785,49.1,MEDIUM
Product Manager,HR,Production Database,4,14.8,0,1,1,0,0,1.93,1,0.973,29.0,LOW
DevOps Engineer,HR,Project Management System,1,8.55,0,1,0,1,0,1.71,1,0.856,26.3,LOW
Product Manager,Product,Finance System,3,19.56,0,1,1,0,1,4.9,1,0.867,34.1,MEDIUM
Contractor,Product,Development Server,2,3.29,1,0,0,0,3,12.86,1,0.486,96.8,HIGH
QA Engineer,Engineering,Finance System,3,8.79,0,1,1,0,0,1.26,1,0.758,30.2,MEDIUM
System Administrator,Engineering,HR Database,3,14.81,0,1,1,0,0,4.7,1,0.601,30.2,MEDIUM
Product Manager,HR,Production Database,4,16.24,0,1,1,0,0,1.29,1,0.628,31.1,MEDIUM
HR Specialist,Finance,Development Server,2,15.42,0,1,1,0,0,2.0,1,0.647,28.3,LOW
Software Developer,Product,GitHub Project Alpha,1,15.34,0,1,0,1,0,0.77,1,0.903,19.6,LOW
System Administrator,Engineering,HR Database,3,3.79,1,0,1,0,4,14.3,1,0.143,100.0,HIGH
Product Manager,Finance,HR Database,3,23.31,1,0,1,0,3,10.59,1,0.475,100.0,HIGH
Finance Analyst,HR,Project Management System,1,18.82,0,1,1,1,1,0.73,1,0.841,12.5,LOW
HR Specialist,IT,Admin Panel,4,22.01,1,1,0,1,4,11.38,1,0.465,100.0,HIGH
Finance Analyst,IT,Production Database,4,15.47,0,0,1,1,0,1.35,1,0.836,33.6,MEDIUM
Software Developer,Finance,HR Database,3,23.35,1,0,0,0,1,7.69,1,0.443,97.4,HIGH
DevOps Engineer,Engineering,Development Server,2,0.38,1,0,1,1,3,5.2,1,0.477,71.3,HIGH
HR Specialist,Engineering,Admin Panel,4,7.64,0,1,1,0,1,0.85,1,0.743,41.2,MEDIUM
Software Developer,Product,Admin Panel,4,10.47,0,1,1,0,0,3.54,0,0.614,51.7,MEDIUM
Finance Analyst,IT,Production Database,4,10.74,0,1,1,1,0,3.74,1,0.766,9.7,LOW
QA Engineer,Product,Production Database,4,23.46,1,0,0,0,0,8.7,1,0.421,100.0,HIGH
Contractor,IT,HR Database,3,8.14,0,1,1,0,0,1.71,1,0.879,32.0,MEDIUM
Contractor,Engineering,HR Database,3,15.68,0,1,1,0,0,1.92,1,0.915,24.6,LOW
Product Manager,Finance,Development Server,2,12.3,0,1,1,0,0,1.63,1,0.644,26.8,LOW
Software Developer,Engineering,HR Database,3,19.35,0,1,1,0,0,1.44,1,0.794,29.7,LOW
QA Engineer,HR,Production Database,4,23.92,1,1,0,0,3,4.99,1,0.206,99.7,HIGH
